0	2
0	3
0	4
0	8
0	9
0	13
0	11
0	10
0	17
0	13
0	14
0	16
0	16
0	19
0	20
0	21
0	21
0	26
0	27
0	25
0	20
0	19
0	21
1	22
0	25
0	31
0	24
0	26
1	26
1	26
0	25
1	27
0	30
0	28
0	27
0	28
0	26
0	24
0	28
0	23
0	25
0	25
0	22
0	29
0	30
1	26
0	24
0	25
0	21
0	24
0	28
0	23
0	25
0	24
0	19
1	17
0	20
0	16
2	16
0	18
0	18
1	17
1	18
0	22
0	25
0	22
0	23
0	19
0	17
1	23
0	22
0	21
0	23
0	27
1	25
0	25
0	26
1	25
1	22
0	20
0	20
0	19
0	23
1	24
0	23
1	26
0	27
0	28
0	25
1	26
1	28
0	34
0	32
0	29
1	27
0	23
1	20
0	22
0	21
0	15
2	21
1	19
0	24
1	23
0	20
0	19
0	21
0	21
3	21
0	18
1	14
1	9
1	15
0	17
0	16
1	18
1	20
0	17
0	15
0	17
1	18
0	16
0	15
0	15
0	14
1	19
0	15
0	15
1	15
1	22
1	19
1	20
0	19
0	23
0	26
2	28
2	28
0	28
0	26
0	28
0	22
0	22
0	24
0	24
0	21
1	24
0	27
1	33
2	31
0	28
1	28
0	29
0	28
0	31
1	25
2	25
0	27
0	30
0	33
0	29
0	22
0	27
1	26
1	25
0	26
0	27
0	26
1	28
0	29
1	33
1	28
0	25
2	22
0	21
0	21
1	22
0	25
1	23
1	22
1	26
2	23
2	24
0	26
0	27
1	28
0	21
1	25
0	27
1	30
1	32
0	28
0	30
0	33
0	32
0	36
2	33
0	32
3	28
0	23
0	24
3	22
0	23
1	21
1	25
1	24
1	21
0	20
0	21
3	24
0	22
1	24
0	24
0	25
0	23
0	27
0	28
1	27
2	27
3	24
1	23
0	29
1	26
0	27
0	23
0	24
0	24
1	22
1	24
0	27
0	25
0	25
2	23
1	22
2	25
0	30
0	26
1	25
1	32
2	31
2	28
1	30
1	35
0	34
1	27
1	27
2	29
0	30
1	33
0	31
0	29
2	33
1	34
1	30
1	35
1	35
1	38
1	38
1	34
2	33
2	37
1	35
1	34
0	32
1	32
2	33
0	34
1	38
1	41
1	41
0	34
1	35
0	36
1	37
0	34
1	34
0	35
1	37
1	39
0	37
1	39
0	37
2	37
0	36
1	36
0	34
1	37
1	34
1	35
1	33
1	37
0	31
1	30
1	33
1	35
0	35
0	35
1	31
0	35
2	34
3	35
3	35
0	36
1	34
0	37
1	38
2	38
1	42
0	39
2	40
0	40
0	42
0	43
2	41
2	44
1	43
0	39
0	38
1	40
1	42
1	43
2	42
0	44
0	41
1	36
1	39
2	41
3	46
2	44
0	42
1	45
2	50
2	48
2	51
1	48
1	49
0	49
2	50
1	44
0	45
3	42
1	45
2	41
3	39
1	45
0	40
0	44
0	40
4	39
2	46
3	45
1	47
1	46
3	45
2	47
0	44
1	45
3	45
1	43
1	40
1	39
2	42
0	43
3	46
3	41
1	38
0	39
2	39
2	40
0	41
3	41
0	41
1	39
0	42
1	40
2	43
0	43
2	43
1	48
1	45
1	46
4	47
1	44
0	43
4	46
1	45
2	45
1	45
0	41
1	40
1	45
0	40
0	39
2	39
2	43
1	43
1	40
1	50
4	49
1	40
0	34
1	38
2	34
0	36
0	36
1	36
3	41
1	38
0	39
0	42
1	39
4	40
1	39
0	35
1	43
2	39
3	41
0	38
2	36
1	36
0	34
1	34
1	37
1	34
1	39
3	38
2	36
0	34
2	33
4	33
5	36
1	39
2	38
2	37
1	37
2	35
1	36
3	39
2	42
1	41
4	40
1	40
1	40
1	40
3	39
0	40
3	40
